model,balancing,threshold,accuracy,precision,recall,f1_score,roc_auc
SGD,SMOTEENN,0.5,0.5525051475634866,0.1221159257175014,0.7560975609756098,0.21027131782945738,0.7256316055720746
SGD,SMOTEENN,0.7,0.8020590253946466,0.19248937175247993,0.4732868757259001,0.27367360644728006,0.7256316055720746
LogisticRegression,SMOTETomek,0.5,0.6924731182795699,0.14997899453858002,0.6219512195121951,0.24167888976644478,0.7255544473617459
LogisticRegression,SMOTETomek,0.3,0.4232898650194464,0.10657989877078815,0.8559814169570267,0.18955761316872427,0.7255544473617459
LogisticRegression,SMOTETomek,0.7,0.8755433539235873,0.24949799196787148,0.2886178861788618,0.267635971997846,0.7255544473617459
LogisticRegression,SMOTE,0.7,0.8756806222832304,0.2498743086978381,0.2886178861788618,0.267852330908111,0.7255350063771622
LogisticRegression,SMOTE,0.3,0.4226950354609929,0.10636606691234916,0.8548199767711963,0.1891909260330313,0.7255350063771622
LogisticRegression,SMOTE,0.5,0.6924731182795699,0.14997899453858002,0.6219512195121951,0.24167888976644478,0.7255350063771622
SGD,BorderlineSMOTE,0.3,0.44223289865019444,0.10905288317896623,0.8478513356562137,0.19324950363997354,0.7251937219118876
SGD,BorderlineSMOTE,0.5,0.7039579043697094,0.15282246270839428,0.6068524970963995,0.2441588785046729,0.7251937219118876
SGD,BorderlineSMOTE,0.7,0.8755891100434683,0.24785027819929187,0.2845528455284553,0.2649364693160314,0.7251937219118876
SGD,ADASYN,0.7,0.8526652939830702,0.22073079791200598,0.3437862950058072,0.2688465031789282,0.7233551643475649
SGD,ADASYN,0.5,0.6205444978265843,0.13457902346791237,0.70267131242741,0.22589377391953702,0.7233551643475649
SGD,ADASYN,0.3,0.33360787005261955,0.09833604403853372,0.9128919860627178,0.1775468714705218,0.7233551643475649
LogisticRegression,ADASYN,0.5,0.6706016929764356,0.14421203066129662,0.6445993031358885,0.23569381038326787,0.7214325836555087
LogisticRegression,ADASYN,0.3,0.39899336536261726,0.10396280102713581,0.8699186991869918,0.1857293410203955,0.7214325836555087
LogisticRegression,ADASYN,0.7,0.8736215968885839,0.246588693957115,0.2938443670150987,0.2681505034446211,0.7214325836555087
SGD,SVMSMOTE,0.7,0.9052390757263784,0.3454384410983171,0.2264808362369338,0.2735882146615223,0.7193100261887947
SGD,SVMSMOTE,0.5,0.8158316174788378,0.20020827909398595,0.4465737514518002,0.2764695308286896,0.7193100261887947
SGD,SVMSMOTE,0.3,0.5608785175017158,0.12302537099090474,0.7462253193960511,0.2112270896687762,0.7193100261887947
SGD,TomekLinks,0.7,0.9227636696408145,0.8035714285714286,0.02613240418118467,0.05061867266591676,0.7169788675343807
SGD,TomekLinks,0.5,0.9242736215968886,0.7161290322580646,0.06445993031358885,0.11827384123601492,0.7169788675343807
SGD,TomekLinks,0.3,0.9177304964539007,0.4377049180327869,0.15505226480836237,0.22898799313893653,0.7169788675343807
SGD,SMOTETomek,0.3,0.36989247311827955,0.09983394221188974,0.872822299651568,0.17917386898730406,0.7112116446536455
SGD,SMOTETomek,0.5,0.6711050102951269,0.14105594956658787,0.6236933797909407,0.2300771208226221,0.7112116446536455
SGD,SMOTETomek,0.7,0.883367650423244,0.2519496100779844,0.24390243902439024,0.24786072587784008,0.7112116446536455
SGD,SMOTE,0.3,0.35159002516586596,0.09911766600115927,0.8937282229965157,0.17844512725375383,0.7084519190126657
SGD,SMOTE,0.5,0.6337222603523222,0.13287367067897626,0.6602787456445993,0.22122774588967797,0.7084519190126657
